,land_area,n_gas_station_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_mart_in_1km,n_mart_in_1km_to_2km,n_pre_school_in_1km_to_2km,n_secondary_school_in_1km,n_seven_eleven_in_3km_to_5km,nearest_super_market,n_super_market_in_1km_to_2km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,h3_price_mean,h3_price_median,h3_price_min,price_per_m2
5211,165.69,5,49,22,3,46,31,15,35,24,6,15,8,35,5,21,67,2756.7565784456633,2485.7586352402195,100.0,2957.3299535276724
5212,165.69,5,49,22,3,46,31,15,35,24,6,15,8,35,5,21,67,2756.7565784456633,2485.7586352402195,100.0,2957.3299535276724
5213,165.69,5,49,22,3,46,31,15,35,24,6,15,8,35,5,21,67,2756.7565784456633,2485.7586352402195,100.0,2957.3299535276724
5214,165.69,5,49,22,3,46,31,15,35,24,6,15,8,35,5,21,67,2756.7565784456633,2485.7586352402195,100.0,2957.3299535276724
5215,91.43,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,984.3596193809472
5216,91.43,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,984.3596193809472
5217,91.43,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,984.3596193809472
5218,91.43,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,984.3596193809472
5219,131.0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1561.0374754906607,1420.5182072829132,574.3243243243244,1145.038167938931
5220,131.0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1561.0374754906607,1420.5182072829132,574.3243243243244,1145.038167938931
5221,131.0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1561.0374754906607,1420.5182072829132,574.3243243243244,1145.038167938931
5222,128.0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,1716.1735289074672,1550.0,1234.375,1234.375
5223,128.0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,1716.1735289074672,1550.0,1234.375,1234.375
5224,226.2,6,23,50,2,14,31,9,22,24,4,15,1,24,1,9,27,2719.744225229168,2708.7912087912086,106.25,3912.4668435013264
5225,226.2,6,23,50,2,14,31,9,22,24,4,15,1,24,1,9,27,2719.744225229168,2708.7912087912086,106.25,3912.4668435013264
5226,226.2,6,23,50,2,14,31,9,22,24,4,15,1,24,1,9,27,2719.744225229168,2708.7912087912086,106.25,3912.4668435013264
5227,226.2,6,23,50,2,14,31,9,22,24,4,15,1,24,1,9,27,2719.744225229168,2708.7912087912086,106.25,3912.4668435013264
5228,86.7,4,3,7,1,4,5,0,5,10,0,21,0,6,0,1,6,1965.067401161352,1851.2711483068363,450.0,1234.1407151095732
5229,64.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4218.75
5230,64.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4218.75
5231,64.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4218.75
5232,64.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4218.75
5233,64.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4218.75
5234,64.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,4218.75
5235,162.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,4184.615384615385
5236,162.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,4184.615384615385
5237,162.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,4184.615384615385
5238,162.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,4184.615384615385
5239,157.0,0,1,0,0,0,2,0,1,1,0,10,0,2,0,0,1,2069.136074663387,1829.9881936245567,166.66666666666666,828.0254777070064
5240,157.0,0,1,0,0,0,2,0,1,1,0,10,0,2,0,0,1,2069.136074663387,1829.9881936245567,166.66666666666666,828.0254777070064
5241,40.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,3997.5
5242,40.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,3997.5
5243,40.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,3997.5
5244,40.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,3997.5
5245,160.0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1699.9650199679063,1552.2186147186148,482.1428571428572,1156.25
5246,297.0,6,35,43,4,16,39,11,26,25,4,13,1,28,2,9,36,2748.1060957443865,2348.279151684156,110.0,4171.717171717171
