id,left,top,right,bottom,row_index,col_index,cambodia_h,cambodia_1,cambodia_2,cambodia_3,cambodia_4,Lon,lat
13,208177.099289080651943,1505651.935345211764798,219724.104672873188974,1495651.935345211764798,12,0,22558.310779960829677,945761.999999999883585,25561.135135135136807,11.000000000000000,345748.352712037798483,102.37129060,13.54585069
14,208177.099289080651943,1495651.935345211764798,219724.104672873188974,1485651.935345211764798,13,0,76494.236911369967856,960193.000000000000000,24004.825000000000728,11.000000000000000,339378.300795545510482,102.37910300,13.46966883
15,208177.099289080651943,1485651.935345211764798,219724.104672873188974,1475651.935345211764798,14,0,29370.969930772669613,498892.999999999941792,10181.489795918367236,11.000000000000000,333458.821528681844939,102.37683050,13.37698966
16,208177.099289080651943,1475651.935345211764798,219724.104672873188974,1465651.935345211764798,15,0,7540.218487335368991,366498.000000000000000,8144.399999999999636,11.000000000000000,327076.535582440730650,102.37899500,13.29155815
17,208177.099289080651943,1465651.935345211764798,219724.104672873188974,1455651.935345211764798,16,0,56001.014119857922196,627248.000000000000000,48249.846153846156085,21.000000000000000,320752.052104211121332,102.39366700,13.21265431
60,216837.353326925047440,1510651.935345211764798,228384.358710717584472,1500651.935345211764798,11,1,1312.585710227489471,75893.000000000000000,37946.500000000000000,21.000000000000000,342053.332942643901333,102.42466140,13.56473203
61,216837.353326925047440,1500651.935345211764798,228384.358710717584472,1490651.935345211764798,12,1,3698.821809729561210,177628.000000000000000,2018.500000000000000,11.000000000000000,338250.803526666946709,102.43740310,13.51600711
62,216837.353326925047440,1490651.935345211764798,228384.358710717584472,1480651.935345211764798,13,1,20979.936993328854442,518488.000000000000000,5825.707865168539684,11.000000000000000,331658.592275169037748,102.43836560,13.42568568
63,216837.353326925047440,1480651.935345211764798,228384.358710717584472,1470651.935345211764798,14,1,20456.147406218573451,222788.000000000000000,2503.235955056179591,11.000000000000000,325240.307885017246008,102.43932060,13.33535207
64,216837.353326925047440,1470651.935345211764798,228384.358710717584472,1460651.935345211764798,15,1,11266.872273415327072,302788.000000000000000,3480.321839080459995,11.000000000000000,319006.448554106696974,102.44026870,13.24501774
65,216837.353326925047440,1460651.935345211764798,228384.358710717584472,1450651.935345211764798,16,1,41346.233264289803628,820888.000000000000000,10524.205128205128858,11.000000000000000,312523.600858642312232,102.44515890,13.15668742
66,216837.353326925047440,1450651.935345211764798,228384.358710717584472,1440651.935345211764798,17,1,45387.745016012340784,1093723.000000000000000,52082.047619047618355,21.000000000000000,306145.611371268460061,102.46517260,13.08402728
67,216837.353326925047440,1440651.935345211764798,228384.358710717584472,1430651.935345211764798,18,1,6.092752793426264,310.386625353809791,521.000000000000000,11.000000000000000,297350.143920147907920,102.49114580,12.97728183
70,216837.353326925047440,1410651.935345211764798,228384.358710717584472,1400651.935345211764798,21,1,0.000000000000000,0.000701855751668,1.000000000000000,11.000000000000000,281199.378304484416731,102.49811350,12.70477432
108,225497.607364769442938,1515651.935345211764798,237044.612748561979970,1505651.935345211764798,11,2,39660.202329047024250,1118925.000000000000000,372975.000000000058208,30.000000000000000,339462.779845166718587,102.55911150,13.65846407
109,225497.607364769442938,1505651.935345211764798,237044.612748561979970,1495651.935345211764798,12,2,10629.086115887388587,416336.999999999941792,7855.415094339622556,11.000000000000000,334194.658858569338918,102.51799970,13.54673516
110,225497.607364769442938,1495651.935345211764798,237044.612748561979970,1485651.935345211764798,13,2,17762.848483189940453,167192.000000000000000,1899.909090909090992,11.000000000000000,328477.580043581197970,102.51782220,13.47165501
111,225497.607364769442938,1485651.935345211764798,237044.612748561979970,1475651.935345211764798,14,2,55233.296766187995672,627695.000000000000000,7132.897727272726115,11.000000000000000,321840.286903040017933,102.51875100,13.38131617
112,225497.607364769442938,1475651.935345211764798,237044.612748561979970,1465651.935345211764798,15,2,5443.011509384959936,246211.000000000000000,2797.852272727272521,11.000000000000000,315380.481998693372589,102.51967290,13.29097663
113,225497.607364769442938,1465651.935345211764798,237044.612748561979970,1455651.935345211764798,16,2,31394.116197485476732,548414.000000000000000,6161.955056179775056,11.000000000000000,309109.293049838743173,102.52058810,13.20063638
114,225497.607364769442938,1455651.935345211764798,237044.612748561979970,1445651.935345211764798,17,2,17498.736465420573950,507056.000000000000000,5762.000000000000000,11.000000000000000,303038.430151196895167,102.52149640,13.11029543
115,225497.607364769442938,1445651.935345211764798,237044.612748561979970,1435651.935345211764798,18,2,24594.980422826949507,431524.000000000000000,5993.388888888888687,11.000000000000000,296631.150332411692943,102.52814960,13.02229307
116,225497.607364769442938,1435651.935345211764798,237044.612748561979970,1425651.935345211764798,19,2,94272.776934091933072,720057.999999999883585,10286.542857142856519,11.000000000000000,290805.989139690645970,102.53076260,12.93125792
117,225497.607364769442938,1425651.935345211764798,237044.612748561979970,1415651.935345211764798,20,2,2295.557717200834304,84963.000000000000000,1573.388888888888914,11.000000000000000,284878.478467604494654,102.53856570,12.84437693
118,225497.607364769442938,1415651.935345211764798,237044.612748561979970,1405651.935345211764798,21,2,0.000000000000000,55.000000000000000,1.000000000000000,11.000000000000000,279806.970475988287944,102.53869000,12.74205000
119,225497.607364769442938,1405651.935345211764798,237044.612748561979970,1395651.935345211764798,22,2,0.000000000000000,31.000000000000000,1.000000000000000,11.000000000000000,275875.085844540444668,102.53912030,12.67866381
155,234157.861402613809332,1520651.935345211764798,245704.866786406346364,1510651.935345211764798,10,3,103162.591044565662742,3479434.000000000000000,65649.698113207545248,12.000000000000000,338466.794925519265234,102.60483800,13.68361584
