id,left,top,right,bottom,row_index,col_index,HexPop_cou,HexPop_sum,HexPop_mea,lon,lat
1,208177.099289080651943,1625651.935345211764798,219724.104672873188974,1615651.935345211764798,0,0,0.000000000000000,0.000000000000000,,213950.601900,1620651.935000
2,208177.099289080651943,1615651.935345211764798,219724.104672873188974,1605651.935345211764798,1,0,0.000000000000000,0.000000000000000,,213950.601900,1610651.935000
3,208177.099289080651943,1605651.935345211764798,219724.104672873188974,1595651.935345211764798,2,0,0.000000000000000,0.000000000000000,,213950.601900,1600651.935000
4,208177.099289080651943,1595651.935345211764798,219724.104672873188974,1585651.935345211764798,3,0,0.000000000000000,0.000000000000000,,213950.601900,1590651.935000
5,208177.099289080651943,1585651.935345211764798,219724.104672873188974,1575651.935345211764798,4,0,0.000000000000000,0.000000000000000,,213950.601900,1580651.935000
6,208177.099289080651943,1575651.935345211764798,219724.104672873188974,1565651.935345211764798,5,0,0.000000000000000,0.000000000000000,,213950.601900,1570651.935000
7,208177.099289080651943,1565651.935345211764798,219724.104672873188974,1555651.935345211764798,6,0,0.000000000000000,0.000000000000000,,213950.601900,1560651.935000
8,208177.099289080651943,1555651.935345211764798,219724.104672873188974,1545651.935345211764798,7,0,0.000000000000000,0.000000000000000,,213950.601900,1550651.935000
9,208177.099289080651943,1545651.935345211764798,219724.104672873188974,1535651.935345211764798,8,0,0.000000000000000,0.000000000000000,,213950.601900,1540651.935000
10,208177.099289080651943,1535651.935345211764798,219724.104672873188974,1525651.935345211764798,9,0,0.000000000000000,0.000000000000000,,213950.601900,1530651.935000
11,208177.099289080651943,1525651.935345211764798,219724.104672873188974,1515651.935345211764798,10,0,0.000000000000000,0.000000000000000,,213950.601900,1520651.935000
12,208177.099289080651943,1515651.935345211764798,219724.104672873188974,1505651.935345211764798,11,0,0.000000000000000,0.000000000000000,,213950.601900,1510651.935000
13,208177.099289080651943,1505651.935345211764798,219724.104672873188974,1495651.935345211764798,12,0,31.000000000000000,22558.310779960829677,727.687444514865319,213950.601900,1500651.935000
14,208177.099289080651943,1495651.935345211764798,219724.104672873188974,1485651.935345211764798,13,0,38.000000000000000,108797.675764247775078,2863.096730638099416,213950.601900,1490651.935000
15,208177.099289080651943,1485651.935345211764798,219724.104672873188974,1475651.935345211764798,14,0,37.000000000000000,44127.409856394864619,1192.632698821482791,213950.601900,1480651.935000
16,208177.099289080651943,1475651.935345211764798,219724.104672873188974,1465651.935345211764798,15,0,38.000000000000000,8564.822051655966789,225.390053990946484,213950.601900,1470651.935000
17,208177.099289080651943,1465651.935345211764798,219724.104672873188974,1455651.935345211764798,16,0,13.000000000000000,56523.704950073733926,4347.977303851826036,213950.601900,1460651.935000
18,208177.099289080651943,1455651.935345211764798,219724.104672873188974,1445651.935345211764798,17,0,0.000000000000000,0.000000000000000,,213950.601900,1450651.935000
19,208177.099289080651943,1445651.935345211764798,219724.104672873188974,1435651.935345211764798,18,0,0.000000000000000,0.000000000000000,,213950.601900,1440651.935000
20,208177.099289080651943,1435651.935345211764798,219724.104672873188974,1425651.935345211764798,19,0,0.000000000000000,0.000000000000000,,213950.601900,1430651.935000
21,208177.099289080651943,1425651.935345211764798,219724.104672873188974,1415651.935345211764798,20,0,0.000000000000000,0.000000000000000,,213950.601900,1420651.935000
22,208177.099289080651943,1415651.935345211764798,219724.104672873188974,1405651.935345211764798,21,0,0.000000000000000,0.000000000000000,,213950.601900,1410651.935000
23,208177.099289080651943,1405651.935345211764798,219724.104672873188974,1395651.935345211764798,22,0,0.000000000000000,0.000000000000000,,213950.601900,1400651.935000
24,208177.099289080651943,1395651.935345211764798,219724.104672873188974,1385651.935345211764798,23,0,0.000000000000000,0.000000000000000,,213950.601900,1390651.935000
25,208177.099289080651943,1385651.935345211764798,219724.104672873188974,1375651.935345211764798,24,0,0.000000000000000,0.000000000000000,,213950.601900,1380651.935000
26,208177.099289080651943,1375651.935345211764798,219724.104672873188974,1365651.935345211764798,25,0,0.000000000000000,0.000000000000000,,213950.601900,1370651.935000
27,208177.099289080651943,1365651.935345211764798,219724.104672873188974,1355651.935345211764798,26,0,0.000000000000000,0.000000000000000,,213950.601900,1360651.935000
28,208177.099289080651943,1355651.935345211764798,219724.104672873188974,1345651.935345211764798,27,0,0.000000000000000,0.000000000000000,,213950.601900,1350651.935000
29,208177.099289080651943,1345651.935345211764798,219724.104672873188974,1335651.935345211764798,28,0,0.000000000000000,0.000000000000000,,213950.601900,1340651.935000
30,208177.099289080651943,1335651.935345211764798,219724.104672873188974,1325651.935345211764798,29,0,0.000000000000000,0.000000000000000,,213950.601900,1330651.935000
31,208177.099289080651943,1325651.935345211764798,219724.104672873188974,1315651.935345211764798,30,0,0.000000000000000,0.000000000000000,,213950.601900,1320651.935000
32,208177.099289080651943,1315651.935345211764798,219724.104672873188974,1305651.935345211764798,31,0,0.000000000000000,0.000000000000000,,213950.601900,1310651.935000
33,208177.099289080651943,1305651.935345211764798,219724.104672873188974,1295651.935345211764798,32,0,0.000000000000000,0.000000000000000,,213950.601900,1300651.935000
34,208177.099289080651943,1295651.935345211764798,219724.104672873188974,1285651.935345211764798,33,0,0.000000000000000,0.000000000000000,,213950.601900,1290651.935000
35,208177.099289080651943,1285651.935345211764798,219724.104672873188974,1275651.935345211764798,34,0,0.000000000000000,0.000000000000000,,213950.601900,1280651.935000
36,208177.099289080651943,1275651.935345211764798,219724.104672873188974,1265651.935345211764798,35,0,0.000000000000000,0.000000000000000,,213950.601900,1270651.935000
